StartX,StartY,Time (s),Result
-0.0525,-0.0525,1.507,Unsuccessful
-0.0475,-0.0525,1.601,Unsuccessful
-0.0425,-0.0525,1.877,Unsuccessful
-0.0375,-0.0525,1.839,Unsuccessful
-0.0325,-0.0525,2.142,Unsuccessful
-0.0275,-0.0525,1.482,Unsuccessful
-0.0225,-0.0525,1.415,Unsuccessful
-0.0175,-0.0525,1.412,Unsuccessful
-0.0125,-0.0525,1.637,Unsuccessful
